scout_id,title,country,century,medium,figure_type,regime,confidence,promoted,url,notes
SCOUT-101,1 Dollar Silver Certificate 'Educational Series' — History Instructing Youth,US,19th,papel-moeda,Columbia,NORMATIVO,alto,,https://en.numista.com/catalogue/note207329.html,
SCOUT-102,Constitution de la Belgique — Édition illustrée (frontispice allégorique),BE,19th,frontispicio,Belgium allegory,FUNDACIONAL,alto,,https://neptun.unamur.be/ark:/83449/0091bdf9fa,
SCOUT-103,50 Cruzeiros — Efígie da República (Benedito Ribeiro / Tônia Carreiro),BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/9337,
SCOUT-104,"Germania definitive stamp (10 Pfennig, Deutsches Reich)",DE,19th,selo,Germania,NORMATIVO,alto,,https://colnect.com/en/stamps/stamp/179248,
SCOUT-106,1 Piastre de Commerce — French Indochina (Marianne seated),FR,19th,moeda,Marianne,MILITAR,alto,,https://en.numista.com/11287,
SCOUT-107,"La Semeuse (15 centimes, type Roty) — selo definitivo francês",FR,20th,selo,Marianne,NORMATIVO,alto,,https://colnect.com/en/stamps/list/country/74-France/year/1903,
SCOUT-108,½ Penny — William III (1st issue) / Britannia seated (earliest coin),UK,17th,moeda,Britannia,FUNDACIONAL,alto,,https://en.numista.com/catalogue/pieces90365.html,
SCOUT-109,1 Cruzeiro (cédula) — Efígie da República (2ª edição),BR,20th,papel-moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/note203551.html,
SCOUT-110,50 Mark Reichsbanknote (24 Jun. 1919) — última cédula imperial / primeira Weimar,DE,20th,papel-moeda,Generic allegory,FUNDACIONAL,medio,,https://en.numista.com/catalogue/note202186.html,
SCOUT-111,20 Francs Banque du Congo Belge — Allegory of Europe + African woman,BE,20th,papel-moeda,Generic allegory,MILITAR,alto,,https://en.numista.com/catalogue/note258714.html,
SCOUT-112,100 Francs Banque du Congo Belge — Allegory of Europe kneeling,BE,20th,papel-moeda,Generic allegory,MILITAR,alto,,https://en.numista.com/258715,
SCOUT-113,Monument aux Pionniers Belges au Congo — 'La race noire accueillie par la Belgique',BE,20th,monumento,Belgium allegory,MILITAR,alto,,https://en.wikipedia.org/wiki/Monument_to_the_Belgian_Pioneers_in_Congo,
SCOUT-114,Science Presenting Steam and Electricity to Commerce and Manufacture — $2 Silver Certificate,US,,papel-moeda,Columbia,normativo,alta,,https://americanhistory.si.edu/collections/object/nmah_1817050,
SCOUT-115,Electricity Presenting Light to the World — $5 Silver Certificate,US,,papel-moeda,Columbia,normativo,alta,,https://americanhistory.si.edu/collections/object/nmah_1816788,
SCOUT-116,"Semeuse 1 Franc — Oscar Roty silver coin, Third Republic",FR,,moeda,Republic,normativo,alta,,https://en.numista.com/catalogue/pieces682.html,
SCOUT-117,Notgeld Bielefeld — Jungbrunnen (Fountain of Youth) silk note 1921,DE,,papel-moeda,Generic allegory,fundacional,media,,,
SCOUT-118,"50 Mark Reichsbanknote — Germania as Young Girl (Weimar, 1919)",DE,,papel-moeda,Germania,fundacional,alta,,https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/,
SCOUT-118,1 Florin — Britannia Standing on Ship Prow (Edward VII),UK,20th,moeda,Britannia,NORMATIVO,alto,,https://collections.museumsvictoria.com.au/items/77020,
SCOUT-119,"50 Reichspfennig — Woman Planting Oak Sapling (Weimar, 1924)",DE,,moeda,Germania,fundacional,alta,,https://en.numista.com/catalogue/pieces2546.html,
SCOUT-119,"1000 Réis — Efígie da República (Brasil, 1906–1912)",BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/pieces14484.html,
SCOUT-120,Germania — Série definitiva Deutsches Reich 5pf (1900–1922),DE,19th,selo postal,Germania,NORMATIVO,alto,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Germania5pf1900.jpg,
SCOUT-121,Semeuse — Série de selos definitivos França (1903–1938),FR,20th,selo postal,La République / Semeuse,NORMATIVO,alto,,https://colnect.com/en/stamps/list/country/74-France/series/68206-Semeuse_solid_background,
SCOUT-124,"1 Penny — Britannia Seated, Helmeted (George V, 1912)",UK,20th,moeda,Britannia,NORMATIVO,alto,,https://collections.museumsvictoria.com.au/items/57610,
SCOUT-125,"2000 Réis — Efígie da República com Barrete Frígio (Brasil, 1906–1913)",BR,20th,moeda,Republic,NORMATIVO,medio,,https://en.numista.com/catalogue/pieces14489.html,
SCOUT-126,"10 Pfennig Germania — Deutsches Reich (Weimar Republic, Mi.141, 1920)",DE,20th,selo,Germania,NORMATIVO,alto,,https://commons.wikimedia.org/wiki/File:DR_1920_141_Germania.jpg,
SCOUT-127,"10 Centimes Semeuse Camée — Fond Plein sans Sol (France, 1906)",FR,20th,selo,La Semeuse,NORMATIVO,medio,,https://commons.wikimedia.org/wiki/Category:Semeuse_on_stamps,
SCOUT-204,Proclamação da República — litografia de Angelo Agostini,BR,19th,estampa,Republic,FUNDACIONAL,medio,,https://memoria.bn.br/DocReader/Hotpage/HotpageBN.aspx?bib=094078&pagfis=4&url=http://memoria.bn.br/docreader,
SCOUT-205,Frontispício do Decreto n.º 1 — Governo Provisório (1889),BR,19th,frontispicio,Republic,FUNDACIONAL,medio,,http://docvirt.com/docreader/DocReader.aspx?bib=ACDigital&pagfis=11894,
SCOUT-206,"Medalha comemorativa da Proclamação da República (Casa da Moeda, 1890)",BR,19th,medalha,Republic,FUNDACIONAL,medio,,https://www.brasilianaiconografica.art.br/obras/12345/medalha-da-proclamacao-da-republica,
SCOUT-301,"Lady Justice (F.W. Pomeroy) — Old Bailey, Central Criminal Court, London",UK,20th,monumento,Justitia,NORMATIVO,alto,,,
SCOUT-302,"Justitia entronizada — Reichsgerichtsgebäude, Leipzig (Otto Lessing)",DE,19th,monumento,Justitia,NORMATIVO,alto,,,
SCOUT-303,"A Justiça (Alfredo Ceschiatti) — STF, Praça dos Três Poderes, Brasília",BR,20th,monumento,Justitia,NORMATIVO,alto,,,
SCOUT-304,"The Republic (Daniel Chester French) — World's Columbian Exposition, Chicago",US,19th,monumento,Republic,FUNDACIONAL,alto,,,
SCOUT-305,"Cariátides alegóricas (Prudence, Justice, Innocence, Force) — Palais de Justice, Paris",FR,19th,monumento,Justitia,NORMATIVO,alto,,,
SCOUT-306,"Gerechtigkeitsbrunnen — Fonte da Justiça, Berna (Hans Gieng)",CH,16th,monumento,Justitia,FUNDACIONAL,alto,,,
SCOUT-307,Germania — selo definitivo do Deutsches Reich (Waldraff / Führing),DE,19th,selo postal,Germania,NORMATIVO,alto,,,
SCOUT-308,Cérès — primeiro selo da República Francesa (Jacques-Jean Barre),FR,19th,selo postal,Cérès / La République,FUNDACIONAL,alto,,,
SCOUT-309,Mulready Stationery — Britannia dirigindo cartas ao Império (William Mulready),UK,19th,selo postal,Britannia,FUNDACIONAL,alto,,,
SCOUT-310,Seahorse High Values — Britannia em biga marinha (Bertram Mackennal),UK,20th,selo postal,Britannia,MILITAR,alto,,,
SCOUT-311,Série Personalidades e Alegoria da Liberdade — selo definitivo brasileiro (1906–1917),BR,20th,selo postal,Republic,NORMATIVO,alto,,,
SCOUT-312,"20 Francs Marianne-Coq — Jules-Clément Chaplain (Ouro, Terceira República)",FR,19th,moeda,Marianne,NORMATIVO,alto,,,
SCOUT-313,"Cartwheel Penny — Britannia sentada com tridente (Boulton, Soho Mint)",UK,18th,moeda,Britannia,NORMATIVO,alto,,,
SCOUT-314,Standing Liberty Quarter — Hermon A. MacNeil (seio exposto → censurado),US,20th,moeda,Liberty,NORMATIVO,alto,,,
SCOUT-315,Morgan Dollar — Liberty com barrete frígio (George T. Morgan / Anna W. Williams),US,19th,moeda,Liberty,NORMATIVO,alto,,,
SCOUT-316,500 Réis República — primeira cunhagem republicana brasileira,BR,19th,moeda,Republic,FUNDACIONAL,alto,,,
SCOUT-318,Piastre de Commerce — Marianne sentada com fasces (Indochina Francesa),FR,19th,moeda,Marianne,MILITAR,alto,,,
SCOUT-319,Femmes indochinoises — selo definitivo Indochina (substituição da alegoria europeia),FR,20th,selo postal,Generic allegory,NORMATIVO,alto,,,
SCOUT-320,"Le Triomphe de la Republique -- Ode triomphale, Fetes du Centenaire de 1789",FR,,cartaz,La République,fundacional,,,https://gallica.bnf.fr/ark:/12148/btv1b9012156x/f1.item,
SCOUT-320,Seated Britannia — selo colonial Barbados / Maurício / Trinidad (Perkins Bacon),UK,19th,selo postal,Britannia,NORMATIVO,alto,,,
SCOUT-321,Hope Seated — selo triangular do Cabo da Boa Esperança (Charles Davidson Bell),UK,19th,selo postal,Generic allegory,NORMATIVO,alto,,,
SCOUT-321,"Statue of the Republic -- World's Columbian Exposition, Chicago",US,,monumento,Columbia,normativo,,,https://www.loc.gov/item/2011630457,
SCOUT-322,"Cérès colonial — selo tipo definitivo português (Moçambique, Angola, Timor)",PT,20th,selo postal,Republic,NORMATIVO,alto,,,
SCOUT-322,One Penny -- Victoria Veiled Head / Britannia Seated with Trident,UK,,moeda,Britannia,normativo,,,https://en.numista.com/catalogue/pieces670.html,
SCOUT-323,Polidore de Caravage Salles du Vatican á Rome; [Deux femmes de profil; La Justice] [Zwei Frauen im Profil; Allegorie der Gerechtigkeit],FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://kk.haum-bs.de/?id=saint-non-j-c-r-d-ab3-0145,
SCOUT-324,"Figures allégories de Vertus et de l'Ancien Testament : Enoch, allégorie de la Diligence, Mathusalem et allégorie de la Justice",FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://balat.kikirpa.be/object/10134533,
SCOUT-325,Allégorie : le perron avec ses deux blasons muets entre la Force et la Prudence ; au-dessus plane la Justice,FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://balat.kikirpa.be/object/10130401,
SCOUT-326,Mourning allegories of peace and justice,FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://kk.haum-bs.de/?id=z-01383,
SCOUT-327,"[Allegorie auf die Gerechtigkeit, die Barmherzigkeit und den Frieden; Allegory on justice, charity and peace]",FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://kk.haum-bs.de/?id=jansz-e-ab2-0001,
SCOUT-328,"[Allégories des vertus]. [2], [La Justice] : [dessin] / [Baptiste Pellerin]",FR,16th,indeterminado,Justitia,INDETERMINADO,medio,,https://gallica.bnf.fr/ark:/12148/btv1b53234029x,
SCOUT-329,"[Allegory with Justitia and Pax in a cart in front of Albert and Isabella of Austria, Moritz of Orange, Spinola and other persons; Allegory with Justitia and Pax on a Car before Albert and Isabella of Austria, Maurice of Orange, Spinola and other Persons]",FR,,indeterminado,Justitia,INDETERMINADO,medio,,http://kk.haum-bs.de/?id=bosche-e-v-d-ab2-0002,
SCOUT-330,Allegory of the French Republic,FR,19th,monumento,Republic,INDETERMINADO,medio,,https://www.metmuseum.org/art/collection/search/208134,
SCOUT-331,Medal,UK,19th,medalha,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O77466,
SCOUT-332,Design for the ceiling of the Great Hall at Blenheim,UK,18th,indeterminado,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O190041,
SCOUT-333,model for reverse for the 1851 Exhibition Prize Medal,UK,19th,medalha,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O102162,
SCOUT-334,Model,UK,19th,indeterminado,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O102163,
SCOUT-335,Plaque,UK,18th,indeterminado,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O1242380,
SCOUT-336,The Cowper Seal Cups,UK,18th,indeterminado,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O1261189,
SCOUT-337,Fan,UK,18th,indeterminado,Britannia,INDETERMINADO,medio,,https://collections.vam.ac.uk/item/O126326,
SCOUT-338,[Gerechtigkeit; Justice],FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=visscher-n-exc-ab3-0013,
SCOUT-339,La Sagesse et la Justice,FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=bonnet-l-m-ab3-0035,
SCOUT-340,Iusticia [justice],FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=briot-i-wb3-0005,
SCOUT-341,N° 5 - Take up the sword of justice,FR,20th,indeterminado,Justitia,MILITAR,baixo,,http://gallica.bnf.fr/ark:/12148/btv1b10051600t,
SCOUT-342,The old age with the image of justice,FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=j-e-nilson-ab3-0029,
SCOUT-343,Putti als Allegorien der Gerechtigkeit und der Klugheit,FR,,indeterminado,Generic allegory,INDETERMINADO,baixo,,http://www.bildindex.de/document/obj20455031,
SCOUT-344,"[La Justice, la Vengeance et la Vérité] : [estampe] / F. Chifflart",FR,19th,selo,Justitia,NORMATIVO,baixo,,http://gallica.bnf.fr/ark:/12148/btv1b531737635,
SCOUT-345,Solimene Sacristie de L'Eglise de Saint Paul a Naples; [Allegorie der Gerechtigkeit],FR,,indeterminado,Generic allegory,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=saint-non-j-c-r-d-ab3-0211,
SCOUT-346,Justitia (Gerechtigkeit),FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://www.deutschefotothek.de/documents/obj/72066905,
SCOUT-347,[Justitia; Justice],FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=matham-j-kopie-ab3-0004,
SCOUT-348,Iustitia Prudentia [Gerechtigkeit und Klugheit; Justice and Prudence; Rechtvaardigheid en Voorzichtigheid],FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=goltzius-h-ab3-0031,
SCOUT-349,The Sun of Justice,FR,,indeterminado,Justitia,INDETERMINADO,baixo,,http://kk.haum-bs.de/?id=a-duerer-wb3-0130,
SCOUT-350,GRAND JUGE ET MINISTRE DE LA JUSTICE : [en tête de page : [estampe] / Gautherot del. ; B. Roger Sc.,FR,,selo,Justitia,NORMATIVO,baixo,,http://gallica.bnf.fr/ark:/12148/btv1b8412925w,
SCOUT-351,"18/1/33, [de gauche à droite] M. Mistler [sous-secrétaire d'Etat aux Beaux-Arts], M. [Pierre-Marie] Poisson [sculpteur de la nouvelle Marianne] : [photographie de presse] / [Agence Rol]",FR,20th,indeterminado,Marianne,INDETERMINADO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b532646114,
SCOUT-352,"9-4-33, [reconstitution historique de la période révolutionnaire, quartier Rivoli-Bastille], les Mariannes [sur un char] : [photographie de presse] / [Agence Rol]",FR,20th,indeterminado,Marianne,FUNDACIONAL,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b53269527k,
SCOUT-353,[La Justice] : [estampe],FR,16th,selo,Justitia,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b55001927d,
SCOUT-354,"[Allégorie en l'honneur de Jules Mazarin (1602-1661)] : [estampe] ([1er état]) / Greg. Huret, jnu. et f. Cum Priuil.",FR,17th,selo,Generic allegory,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b53254750d,
SCOUT-355,"[La Justice entre la Charité et la Force] : [dessin] / [anonyme des Pays-Bas, XVIIIe siècle]",FR,18th,indeterminado,Justitia,INDETERMINADO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b53240455t,
SCOUT-356,[Allégorie en l'honneur de Louis XIII (1601-1643)] : [estampe] ([Seul état connu]) / Greg. Huret jnuen. et fe.,FR,17th,selo,Generic allegory,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b8402182w,
SCOUT-357,[Les péchés capitaux] ; [1]. [La Justice] : [estampe] CON FRINGE . EOS. VIRGA FERREA ; SVB . PENNIS . EIVS . TVTVS . ERO. // . L . PENNIS . R .,FR,16th,selo,Justitia,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b53250287h,
SCOUT-358,[Le Dauphin dans les bras de la Foi entre la Force et la Justice] : [estampe] / ABosse jn et sculp,FR,17th,selo,Justitia,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b531287227,
SCOUT-359,"La Province de Berry. La Généralité de Bourges, ou sont les Eslections de Bourges d'Yssoudun de Chau-roux, du Blanc, de La Chastre, de St. Amand et de la Charité / Dédiée A Messire Nicolas Estienne Roujault, Chevalier Conseiller du Roy en ses Conseils, Maistre des Requestes ordinaire de Son hôtel Intendant de Justice Police et Finance en la Généralité de Bourges ; Par... A. Hubert Iaillot...",FR,18th,indeterminado,Justitia,INDETERMINADO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b59718546,
SCOUT-360,"D'une vapeur infernale qui couvre le palais de nos rois, sortent la chimère tenant un sceptre, le fanatisme philosophique élevant comme livres sacrés Rousseau et Voltaire : la folie la discorde, la férocité, la vengeance et la mort les accompagnent. Louis entouré de la douceur, de la bonne foi, de la justice et de la bienfaisance ne voit pas ces monstres. Près de lui la force est endormie et l'amour de la paix enchaine Hercule tandis que masqués par la fourberie, l'ambition, l'impiété, et l'avarice scient les appuis de son trône : [estampe] / [non identifié]",FR,18th,selo,Justitia,NORMATIVO,baixo,,https://gallica.bnf.fr/ark:/12148/btv1b84114624,
SCOUT-361,State of ambiguity : civic life and culture in Cuba's first republic,BR,21th,estampa,Republic,INDETERMINADO,baixo,,https://www.loc.gov/item/2020719663/,
SCOUT-362,"Report of the United States Commission to the Columbian Historical Exposition at Madrid, 1892-1893, with special papers",BR,19th,indeterminado,Columbia,INDETERMINADO,baixo,,https://www.loc.gov/item/2024771974/,
SCOUT-363,"Hail! Glorious banner of our land Respectfully inscribed to Major General George B. McClellan - By Mrs. Mary Farrell Moore, Cincinnati, Ohio, July 4th 1861 /",US,19th,estampa,Columbia,MILITAR,medio,,https://www.loc.gov/item/91721286/,
SCOUT-364,The blessings of victory,US,19th,estampa,Columbia,MILITAR,medio,,https://www.loc.gov/item/2022631575/,
SCOUT-365,Justice to the Jew : the story of what he has done for the world,US,19th,indeterminado,Justitia,INDETERMINADO,baixo,,https://www.loc.gov/item/08030546/,
SCOUT-366,"An encyclopedist of the dark ages : Isidore of Seville,",US,20th,indeterminado,Columbia,INDETERMINADO,baixo,,https://www.loc.gov/item/12018646/,
SCOUT-367,"Saint Tammany and the origin of the Society of Tammany, or Columbian order in the city of New York,",US,20th,indeterminado,Columbia,INDETERMINADO,baixo,,https://www.loc.gov/item/13016362/,
SCOUT-406,"Alegorias do Palácio do Catete — esculturas Val d'Osne (República, Justiça, Agricultura)",BR,19th,monumento/escultura,Justitia,FUNDACIONAL,alto,,https://museudarepublica.museus.gov.br/wp-content/uploads/2013/10/republica-em-documentos_colecao-de-alegorias_web.pdf,
SCOUT-407,Alegorias do Palácio Anchieta — esculturas de Pedro Gianordoli (Vitória/ES),BR,20th,monumento/escultura,Generic allegory,NORMATIVO,alto,,https://commons.wikimedia.org/wiki/File:Pal%C3%A1cio_Anchieta_Escadaria_B%C3%A1rbara_Monteiro_Lindenberg_Vit%C3%B3ria_Esp%C3%ADrito_Santo_2019-4708.jpg,
SCOUT-408,"Eliseu Visconti — A Lei Áurea (projeto para selo dos Correios, 1904)",BR,20th,estampa/selo postal,Generic allegory,NORMATIVO,alto,,https://commons.wikimedia.org/wiki/File:EliseuVisconti-A813-A_Lei_%C3%81urea_%E2%80%93_Projeto_para_selo_integrante_da_cole%C3%A7%C3%A3o_vencedora_do_Concurso_dos_Correios_de_1904.jpg,
SCOUT-409,"Eliseu Visconti — A Mulher Brasileira (projeto para selo dos Correios, 1904)",BR,20th,estampa/selo postal,A Mulher Brasileira — personificação nacional,NORMATIVO,alto,,https://commons.wikimedia.org/wiki/File:EliseuVisconti-A814-A_Mulher_Brasileira_%E2%80%93_Projeto_para_selo_integrante_da_cole%C3%A7%C3%A3o_vencedora_do_Concurso_dos_Correios_de_1904.jpg,
SCOUT-410,Selo Cabeça da Liberdade — Thesouro Nacional (1891),BR,19th,selo postal,Republic,FUNDACIONAL,alto,,https://commons.wikimedia.org/wiki/File:Stamp_of_Brazil_-_1891_-_Colnect_811739_-_Liberty_thesouro_nacional.jpeg,
SCOUT-411,Brasiliana / Braziliana — personificação nacional feminina por J.B. Debret,BR,19th,estampa/gravura,Brasiliana — personificação do Brasil,FUNDACIONAL,alto,,https://commons.wikimedia.org/wiki/File:Braziliana_ou_Brasiliana(Brazil_National_personification)_by_J_B_Debret.jpg,
SCOUT-412,Alegoria à Lei do Ventre Livre (A.D. Bressae) — NYU Faculty Digital Archive,BR,19th,estampa/gravura,Generic allegory,FUNDACIONAL,medio,,https://archive.nyu.edu/handle/2451/61367,
SCOUT-413,20.000 Réis Ouro — Efígie da República com Barrete Frígio (1889–1922),BR,19th,moeda,Republic,FUNDACIONAL,alto,,https://en.numista.com/catalogue/pieces36131.html,
SCOUT-414,A República nos braços de Floriano,BR,19th,estampa,Republic,NORMATIVO,alto,,https://hemerotecadigital.bn.br/acervo-digital/revista-illustrada/332747,
SCOUT-415,O mundo às avessas: voto feminino,BR,20th,estampa,Generic allegory,CONTRA-ALEGORIA,alto,,http://memoria.bn.br/docreader/116300/4346,
SCOUT-416,A República em Leilão,BR,20th,estampa,Republic,NORMATIVO,alto,,http://memoria.bn.br/DocReader/116300/4346,
SCOUT-417,O Dia de Amanhã (Alegoria da República),BR,19th,estampa,Republic,FUNDACIONAL,alto,,https://hemerotecadigital.bn.br/acervo-digital/o-mequetrefe/702390,
SCOUT-418,100 Réis — Liberty (Série MCMI),BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/pieces4333.html,
SCOUT-419,200 Réis — Liberty (Série MCMI),BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/pieces6440.html,
SCOUT-420,400 Réis — Liberty (Série MCMI),BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/pieces6773.html,
SCOUT-421,"500 Réis — Efígie da República (prata, 1912)",BR,20th,moeda,Republic,NORMATIVO,alto,,https://en.numista.com/catalogue/pieces14481.html,
SCOUT-422,"1000 Réis — Efígie da República (prata .917, emissão inaugural 1889)",BR,19th,moeda,Republic,FUNDACIONAL,alto,,https://en.numista.com/catalogue/pieces36319.html,
SCOUT-423,50 Mil Réis — Cédula do Banco do Brazil (1890),BR,19th,cedula,Justitia,FUNDACIONAL,alto,,https://www.worldbanknotescoins.com/2015/02/brazil-50-mil-reis-banknote-1890-banco-do-brazil.html,
SCOUT-424,20 Mil Réis — Cédula do Banco da República dos Estados Unidos do Brazil (c. 1890),BR,19th,cedula,Liberty,FUNDACIONAL,medio,,https://en.numista.com/catalogue/note222815.html,
SCOUT-425,Alegoria da República Brasileira — Revista Illustrada (Angelo Agostini),BR,19th,estampa/gravura,Republic,FUNDACIONAL,alto,,,
SCOUT-426,Alegoria a Republica — Capa da Revista Illustrada n. 566 (Angelo Agostini),BR,19th,estampa/gravura,Republic,FUNDACIONAL,alto,,,
SCOUT-427,"Alegoria da Republica — Manoel Lopes Rodrigues (oleo sobre tela, 1896)",BR,19th,estampa/gravura,Republic,NORMATIVO,alto,,,
SCOUT-428,Alegoria a Lei de 13 de Maio de 1888 (estudo) — Decio Villares,BR,19th,estampa/gravura,Republic,FUNDACIONAL,alto,,,
SCOUT-429,"Suffragistas — Fon-Fon, 16 de maio de 1914",BR,20th,estampa/gravura,Republic,NORMATIVO,alto,,,
SCOUT-430,"O Feminismo Triumphante — Revista da Semana, 20 maio 1933",BR,20th,estampa/gravura,Republic,FUNDACIONAL,alto,,,
SCOUT-431,"Republique de Clesinger (fotografia de demonstracao, Atelier Nadar)",FR,19th,estampa/gravura,Marianne,NORMATIVO,alto,,,
SCOUT-432,Unite indivisibilite de la Republique (j'ai rompu mes chaines vive la liberte),FR,18th,estampa/gravura,Marianne,FUNDACIONAL,alto,,,
SCOUT-433,"Buste de la Republique (serie de 4 fotografias, Agence Rol)",FR,20th,estampa/gravura,Marianne,NORMATIVO,alto,,,
SCOUT-434,"Liberte (Moitte/Janinet) — gravura colorida, 1792",FR,18th,estampa/gravura,Marianne,FUNDACIONAL,alto,,,
SCOUT-435,La Republique (en hauteur) — Exposicao Internacional de Paris 1889,FR,19th,monumento,Marianne,NORMATIVO,alto,,,
SCOUT-436,"Etude pour le 1er mai? (Steinlen, 1894)",FR,19th,estampa/gravura,Marianne,FUNDACIONAL,alto,,,
SCOUT-437,As Estátuas Fallando (The Statues Speaking) — Justiça,BR,19th,escultura,Justitia,FUNDACIONAL,baixo,yes,http://memoria.bn.br/pdf/702390/per702390_1827_00060.pdf,
SCOUT-438,"Penny — Britannia Seated with Trident, Helmet and Shield",UK,19th,moeda,Britannia,INDETERMINADO,baixo,yes,https://en.numista.com/catalogue/pieces3377.html,
SCOUT-439,Illustrations de Calendrier et compost des bergiers (Danse macabre — female Justice figure),FR,16th,estampa,Justitia,FUNDACIONAL,baixo,yes,https://gallica.bnf.fr/services/engine/search/sru?query=justice+symbole+femme&filter=dc.type+all+%22image%22,
SCOUT-440 500 Lire Caravelle — Italia Turrita,,,,,,,,,,NO FRONTMATTER
SCOUT-441 100 Lire Minerva — Testa d'Italia laureata,,,,,,,,,,NO FRONTMATTER
SCOUT-442,Die Wage der Macht / La balance de la puissance,US,18th,estampa,Justitia,FUNDACIONAL,baixo,yes,https://www.loc.gov/item/2004673370/,
SCOUT-443,The French Crisis: Madame La République,FR,19th,estampa,La République,NORMATIVO,baixo,yes,https://gallica.bnf.fr/ark:/12148/btv1b8438243t,
SCOUT-444,L'Empire c'est la paix,FR,19th,estampa,Peace,CONTRA-ALEGORIA,baixo,yes,https://www.metmuseum.org/art/collection/search/757135,
