id,title,country,date,medium,figure_type,regime,seculo,confidence,promoted,url
SCOUT-116,"Semeuse 1 Franc — Oscar Roty silver coin, Third Republic",FR,,moeda,Republic,normativo,19th,alta,no,https://en.numista.com/catalogue/pieces682.html
SCOUT-117,Notgeld Bielefeld — Jungbrunnen (Fountain of Youth) silk note 1921,DE,,papel-moeda,Generic allegory / Fountain of Youth,fundacional,20th,media,no,
SCOUT-118,"50 Mark Reichsbanknote — Germania as Young Girl (Weimar, 1919)",DE,,papel-moeda,Germania,fundacional,20th,alta,no,https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/
SCOUT-118,1 Florin — Britannia Standing on Ship Prow (Edward VII),UK,1902-1910,moeda,Britannia,NORMATIVO,20th,alto,no,https://collections.museumsvictoria.com.au/items/77020
SCOUT-119,"50 Reichspfennig — Woman Planting Oak Sapling (Weimar, 1924)",DE,,moeda,Germania / Woman Planting Oak,fundacional,20th,alta,no,https://en.numista.com/catalogue/pieces2546.html
SCOUT-119,"1000 Réis — Efígie da República (Brasil, 1906–1912)",BR,1906-1912,moeda,A República,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/pieces14484.html
SCOUT-120,Germania — Série definitiva Deutsches Reich 5pf (1900–1922),DE,1900-1922,selo postal,Germania,NORMATIVO,19th,alto,no,https://upload.wikimedia.org/wikipedia/commons/e/e2/Germania5pf1900.jpg
SCOUT-121,Semeuse — Série de selos definitivos França (1903–1938),FR,1903-1938,selo postal,La République / Semeuse,NORMATIVO,20th,alto,no,https://colnect.com/en/stamps/list/country/74-France/series/68206-Semeuse_solid_background
SCOUT-124,"1 Penny — Britannia Seated, Helmeted (George V, 1912)",UK,1911-1936,moeda,Britannia,NORMATIVO,20th,alto,no,https://collections.museumsvictoria.com.au/items/57610
SCOUT-125,"2000 Réis — Efígie da República com Barrete Frígio (Brasil, 1906–1913)",BR,1906-1913,moeda,A República,NORMATIVO,20th,medio,no,https://en.numista.com/catalogue/pieces14489.html
SCOUT-126,"10 Pfennig Germania — Deutsches Reich (Weimar Republic, Mi.141, 1920)",DE,1920-1921,selo,Germania,NORMATIVO,20th,alto,no,https://commons.wikimedia.org/wiki/File:DR_1920_141_Germania.jpg
SCOUT-127,"10 Centimes Semeuse Camée — Fond Plein sans Sol (France, 1906)",FR,1906-1941,selo,La Semeuse,NORMATIVO,20th,medio,no,https://commons.wikimedia.org/wiki/Category:Semeuse_on_stamps
SCOUT-204,Proclamação da República — litografia de Angelo Agostini,BR,1889-11,estampa,A República,FUNDACIONAL,19th,medio,no,https://memoria.bn.br/DocReader/Hotpage/HotpageBN.aspx?bib=094078&pagfis=4&url=http://memoria.bn.br/docreader
SCOUT-205,Frontispício do Decreto n.º 1 — Governo Provisório (1889),BR,1889-11,frontispicio,A República,FUNDACIONAL,19th,medio,no,http://docvirt.com/docreader/DocReader.aspx?bib=ACDigital&pagfis=11894
SCOUT-206,"Medalha comemorativa da Proclamação da República (Casa da Moeda, 1890)",BR,1890,medalha,A República,FUNDACIONAL,19th,medio,no,https://www.brasilianaiconografica.art.br/obras/12345/medalha-da-proclamacao-da-republica
SCOUT-301,"Lady Justice (F.W. Pomeroy) — Old Bailey, Central Criminal Court, London",UK,1906,monumento,Justitia / Lady Justice,NORMATIVO,20th,alto,no,
SCOUT-302,"Justitia entronizada — Reichsgerichtsgebäude, Leipzig (Otto Lessing)",DE,1895,monumento,Justitia (dupla: libertadora e punitiva),NORMATIVO,19th,alto,no,
SCOUT-303,"A Justiça (Alfredo Ceschiatti) — STF, Praça dos Três Poderes, Brasília",BR,1961,monumento,Têmis / A Justiça,NORMATIVO,20th,alto,no,
SCOUT-304,"The Republic (Daniel Chester French) — World's Columbian Exposition, Chicago",US,1893,monumento,Columbia / A República,FUNDACIONAL,19th,alto,no,
SCOUT-305,"Cariátides alegóricas (Prudence, Justice, Innocence, Force) — Palais de Justice, Paris",FR,1868,monumento,Justitia / Prudence / Innocence / Force,NORMATIVO,19th,alto,no,
SCOUT-306,"Gerechtigkeitsbrunnen — Fonte da Justiça, Berna (Hans Gieng)",CH,1543,monumento,Justitia vendada (primeira representação conhecida),FUNDACIONAL,16th,alto,no,
SCOUT-307,Germania — selo definitivo do Deutsches Reich (Waldraff / Führing),DE,1900–1922,selo postal,Germania,NORMATIVO,19th,alto,no,
SCOUT-308,Cérès — primeiro selo da República Francesa (Jacques-Jean Barre),FR,1849–1852,selo postal,Cérès / La République,FUNDACIONAL,19th,alto,no,
SCOUT-309,Mulready Stationery — Britannia dirigindo cartas ao Império (William Mulready),UK,1840,selo postal,Britannia (dirigindo o correio imperial),FUNDACIONAL,19th,alto,no,
SCOUT-310,Seahorse High Values — Britannia em biga marinha (Bertram Mackennal),UK,1913–1934,selo postal,Britannia (em biga naval imperial),MILITAR,20th,alto,no,
SCOUT-311,Série Personalidades e Alegoria da Liberdade — selo definitivo brasileiro (1906–1917),BR,1906,selo postal,A República / Liberdade,NORMATIVO,20th,alto,no,
SCOUT-312,"20 Francs Marianne-Coq — Jules-Clément Chaplain (Ouro, Terceira República)",FR,1899–1914,moeda,Marianne / La République,NORMATIVO,19th,alto,no,
SCOUT-313,"Cartwheel Penny — Britannia sentada com tridente (Boulton, Soho Mint)",UK,1797,moeda,"Britannia (sentada, com tridente — primeira vez)",NORMATIVO,18th,alto,no,
SCOUT-314,Standing Liberty Quarter — Hermon A. MacNeil (seio exposto → censurado),US,1916–1930,moeda,"Liberty (de pé, com escudo e oliveira)",NORMATIVO,20th,alto,no,
SCOUT-315,Morgan Dollar — Liberty com barrete frígio (George T. Morgan / Anna W. Williams),US,1878–1921,moeda,Liberty (cabeça com barrete frígio),NORMATIVO,19th,alto,no,
SCOUT-316,500 Réis República — primeira cunhagem republicana brasileira,BR,1889,moeda,A República / Liberdade,FUNDACIONAL,19th,alto,no,
SCOUT-318,Piastre de Commerce — Marianne sentada com fasces (Indochina Francesa),FR,1885–1895,moeda,"Marianne / La République (sentada, fasces, coroa radiada)",MILITAR,19th,alto,no,
SCOUT-319,Femmes indochinoises — selo definitivo Indochina (substituição da alegoria europeia),FR,1907,selo postal,Mulheres indígenas (substituem alegoria europeia),NORMATIVO,20th,alto,no,
SCOUT-320,"Le Triomphe de la Republique -- Ode triomphale, Fetes du Centenaire de 1789",FR,,cartaz,La République,fundacional,19th,,no,https://gallica.bnf.fr/ark:/12148/btv1b9012156x/f1.item
SCOUT-320,Seated Britannia — selo colonial Barbados / Maurício / Trinidad (Perkins Bacon),UK,1852,selo postal,Britannia (sentada — exportada para três colônias caribenhas),NORMATIVO,19th,alto,no,
SCOUT-321,Hope Seated — selo triangular do Cabo da Boa Esperança (Charles Davidson Bell),UK,1853,selo postal,Hope (Esperança — alegoria colonial específica),NORMATIVO,19th,alto,no,
SCOUT-321,"Statue of the Republic -- World's Columbian Exposition, Chicago",US,,monumento,Columbia,normativo,19th,,no,https://www.loc.gov/item/2011630457
SCOUT-322,"Cérès colonial — selo tipo definitivo português (Moçambique, Angola, Timor)",PT,1913–1945,selo postal,Cérès (exportação republicana para colônias),NORMATIVO,20th,alto,no,
SCOUT-322,One Penny -- Victoria Veiled Head / Britannia Seated with Trident,UK,,moeda,Britannia,normativo,19th,,no,https://en.numista.com/catalogue/pieces670.html
SCOUT-323,Polidore de Caravage Salles du Vatican á Rome; [Deux femmes de profil; La Justice] [Zwei Frauen im Profil; Allegorie der Gerechtigkeit],FR,,indeterminado,Justice,INDETERMINADO,,medio,no,http://kk.haum-bs.de/?id=saint-non-j-c-r-d-ab3-0145
SCOUT-324,"Figures allégories de Vertus et de l'Ancien Testament : Enoch, allégorie de la Diligence, Mathusalem et allégorie de la Justice",FR,,indeterminado,Justice,INDETERMINADO,,medio,no,http://balat.kikirpa.be/object/10134533
SCOUT-325,Allégorie : le perron avec ses deux blasons muets entre la Force et la Prudence ; au-dessus plane la Justice,FR,,indeterminado,Justice,INDETERMINADO,,medio,no,http://balat.kikirpa.be/object/10130401
SCOUT-326,Mourning allegories of peace and justice,FR,,indeterminado,Justice,INDETERMINADO,,medio,no,http://kk.haum-bs.de/?id=z-01383
SCOUT-327,"[Allegorie auf die Gerechtigkeit, die Barmherzigkeit und den Frieden; Allegory on justice, charity and peace]",FR,,indeterminado,Justice,INDETERMINADO,,medio,no,http://kk.haum-bs.de/?id=jansz-e-ab2-0001
SCOUT-328,"[Allégories des vertus]. [2], [La Justice] : [dessin] / [Baptiste Pellerin]",FR,1560-1570,indeterminado,Justice,INDETERMINADO,16th,medio,no,https://gallica.bnf.fr/ark:/12148/btv1b53234029x
SCOUT-329,"[Allegory with Justitia and Pax in a cart in front of Albert and Isabella of Austria, Moritz of Orange, Spinola and other persons; Allegory with Justitia and Pax on a Car before Albert and Isabella of Austria, Maurice of Orange, Spinola and other Persons]",FR,,indeterminado,Justitia,INDETERMINADO,,medio,no,http://kk.haum-bs.de/?id=bosche-e-v-d-ab2-0002
SCOUT-330,Allegory of the French Republic,FR,1892,monumento,Republic,INDETERMINADO,19th,medio,no,https://www.metmuseum.org/art/collection/search/208134
SCOUT-331,Medal,UK,1897,medalha,Britannia,INDETERMINADO,19th,medio,no,https://collections.vam.ac.uk/item/O77466
SCOUT-332,Design for the ceiling of the Great Hall at Blenheim,UK,ca. 1716,indeterminado,Britannia,INDETERMINADO,18th,medio,no,https://collections.vam.ac.uk/item/O190041
SCOUT-333,model for reverse for the 1851 Exhibition Prize Medal,UK,1851,medalha,Britannia,INDETERMINADO,19th,medio,no,https://collections.vam.ac.uk/item/O102162
SCOUT-334,Model,UK,1851,indeterminado,Britannia,INDETERMINADO,19th,medio,no,https://collections.vam.ac.uk/item/O102163
SCOUT-335,Plaque,UK,1798,indeterminado,Britannia,INDETERMINADO,18th,medio,no,https://collections.vam.ac.uk/item/O1242380
SCOUT-336,The Cowper Seal Cups,UK,ca. 1714,indeterminado,Britannia,INDETERMINADO,18th,medio,no,https://collections.vam.ac.uk/item/O1261189
SCOUT-337,Fan,UK,ca. 1745,indeterminado,Britannia,INDETERMINADO,18th,medio,no,https://collections.vam.ac.uk/item/O126326
SCOUT-338,[Gerechtigkeit; Justice],FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=visscher-n-exc-ab3-0013
SCOUT-339,La Sagesse et la Justice,FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=bonnet-l-m-ab3-0035
SCOUT-340,Iusticia [justice],FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=briot-i-wb3-0005
SCOUT-341,N° 5 - Take up the sword of justice,FR,1920,indeterminado,Justice,MILITAR,20th,baixo,no,http://gallica.bnf.fr/ark:/12148/btv1b10051600t
SCOUT-342,The old age with the image of justice,FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=j-e-nilson-ab3-0029
SCOUT-343,Putti als Allegorien der Gerechtigkeit und der Klugheit,FR,,indeterminado,Alegoria feminina,INDETERMINADO,,baixo,no,http://www.bildindex.de/document/obj20455031
SCOUT-344,"[La Justice, la Vengeance et la Vérité] : [estampe] / F. Chifflart",FR,1865,selo,Justice,NORMATIVO,19th,baixo,no,http://gallica.bnf.fr/ark:/12148/btv1b531737635
SCOUT-345,Solimene Sacristie de L'Eglise de Saint Paul a Naples; [Allegorie der Gerechtigkeit],FR,,indeterminado,Alegoria feminina,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=saint-non-j-c-r-d-ab3-0211
SCOUT-346,Justitia (Gerechtigkeit),FR,,indeterminado,Justitia,INDETERMINADO,,baixo,no,http://www.deutschefotothek.de/documents/obj/72066905
SCOUT-347,[Justitia; Justice],FR,,indeterminado,Justitia,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=matham-j-kopie-ab3-0004
SCOUT-348,Iustitia Prudentia [Gerechtigkeit und Klugheit; Justice and Prudence; Rechtvaardigheid en Voorzichtigheid],FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=goltzius-h-ab3-0031
SCOUT-349,The Sun of Justice,FR,,indeterminado,Justice,INDETERMINADO,,baixo,no,http://kk.haum-bs.de/?id=a-duerer-wb3-0130
SCOUT-350,GRAND JUGE ET MINISTRE DE LA JUSTICE : [en tête de page : [estampe] / Gautherot del. ; B. Roger Sc.,FR,,selo,Justice,NORMATIVO,,baixo,no,http://gallica.bnf.fr/ark:/12148/btv1b8412925w
SCOUT-351,"18/1/33, [de gauche à droite] M. Mistler [sous-secrétaire d'Etat aux Beaux-Arts], M. [Pierre-Marie] Poisson [sculpteur de la nouvelle Marianne] : [photographie de presse] / [Agence Rol]",FR,1933,indeterminado,Marianne,INDETERMINADO,20th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b532646114
SCOUT-352,"9-4-33, [reconstitution historique de la période révolutionnaire, quartier Rivoli-Bastille], les Mariannes [sur un char] : [photographie de presse] / [Agence Rol]",FR,1933,indeterminado,Marianne,FUNDACIONAL,20th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b53269527k
SCOUT-353,[La Justice] : [estampe],FR,15..-1584,selo,Justice,NORMATIVO,16th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b55001927d
SCOUT-354,"[Allégorie en l'honneur de Jules Mazarin (1602-1661)] : [estampe] ([1er état]) / Greg. Huret, jnu. et f. Cum Priuil.",FR,1645-1660,selo,Alegoria feminina,NORMATIVO,17th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b53254750d
SCOUT-355,"[La Justice entre la Charité et la Force] : [dessin] / [anonyme des Pays-Bas, XVIIIe siècle]",FR,1710,indeterminado,Justice,INDETERMINADO,18th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b53240455t
SCOUT-356,[Allégorie en l'honneur de Louis XIII (1601-1643)] : [estampe] ([Seul état connu]) / Greg. Huret jnuen. et fe.,FR,1640-1643,selo,Alegoria feminina,NORMATIVO,17th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b8402182w
SCOUT-357,[Les péchés capitaux] ; [1]. [La Justice] : [estampe] CON FRINGE . EOS. VIRGA FERREA ; SVB . PENNIS . EIVS . TVTVS . ERO. // . L . PENNIS . R .,FR,1547,selo,Justice,NORMATIVO,16th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b53250287h
SCOUT-358,[Le Dauphin dans les bras de la Foi entre la Force et la Justice] : [estampe] / ABosse jn et sculp,FR,1662,selo,Justice,NORMATIVO,17th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b531287227
SCOUT-359,"La Province de Berry. La Généralité de Bourges, ou sont les Eslections de Bourges d'Yssoudun de Chau-roux, du Blanc, de La Chastre, de St. Amand et de la Charité / Dédiée A Messire Nicolas Estienne Roujault, Chevalier Conseiller du Roy en ses Conseils, Maistre des Requestes ordinaire de Son hôtel Intendant de Justice Police et Finance en la Généralité de Bourges ; Par... A. Hubert Iaillot...",FR,1707,indeterminado,Justice,INDETERMINADO,18th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b59718546
SCOUT-360,"D'une vapeur infernale qui couvre le palais de nos rois, sortent la chimère tenant un sceptre, le fanatisme philosophique élevant comme livres sacrés Rousseau et Voltaire : la folie la discorde, la férocité, la vengeance et la mort les accompagnent. Louis entouré de la douceur, de la bonne foi, de la justice et de la bienfaisance ne voit pas ces monstres. Près de lui la force est endormie et l'amour de la paix enchaine Hercule tandis que masqués par la fourberie, l'ambition, l'impiété, et l'avarice scient les appuis de son trône : [estampe] / [non identifié]",FR,1791,selo,Justice,NORMATIVO,18th,baixo,no,https://gallica.bnf.fr/ark:/12148/btv1b84114624
SCOUT-361,State of ambiguity : civic life and culture in Cuba's first republic,BR,2014-01-01,estampa,Republic,INDETERMINADO,21th,baixo,no,https://www.loc.gov/item/2020719663/
SCOUT-362,"Report of the United States Commission to the Columbian Historical Exposition at Madrid, 1892-1893, with special papers",BR,1895,indeterminado,Columbia,INDETERMINADO,19th,baixo,no,https://www.loc.gov/item/2024771974/
SCOUT-363,"Hail! Glorious banner of our land Respectfully inscribed to Major General George B. McClellan - By Mrs. Mary Farrell Moore, Cincinnati, Ohio, July 4th 1861 /",US,1861-01-01,estampa,Columbia,MILITAR,19th,medio,no,https://www.loc.gov/item/91721286/
SCOUT-364,The blessings of victory,US,1864-01-01,estampa,Columbia,MILITAR,19th,medio,no,https://www.loc.gov/item/2022631575/
SCOUT-365,Justice to the Jew : the story of what he has done for the world,US,1900,indeterminado,Justice,INDETERMINADO,19th,baixo,no,https://www.loc.gov/item/08030546/
SCOUT-366,"An encyclopedist of the dark ages : Isidore of Seville,",US,1912,indeterminado,Columbia,INDETERMINADO,20th,baixo,no,https://www.loc.gov/item/12018646/
SCOUT-367,"Saint Tammany and the origin of the Society of Tammany, or Columbian order in the city of New York,",US,1913,indeterminado,Columbia,INDETERMINADO,20th,baixo,no,https://www.loc.gov/item/13016362/
SCOUT-406,"Alegorias do Palácio do Catete — esculturas Val d'Osne (República, Justiça, Agricultura)",BR,1899-1910,monumento/escultura,"A República, A Justiça, Agricultura",FUNDACIONAL,19th,alto,no,https://museudarepublica.museus.gov.br/wp-content/uploads/2013/10/republica-em-documentos_colecao-de-alegorias_web.pdf
SCOUT-407,Alegorias do Palácio Anchieta — esculturas de Pedro Gianordoli (Vitória/ES),BR,1912,monumento/escultura,Alegorias das Estações e da Indústria,NORMATIVO,20th,alto,no,https://commons.wikimedia.org/wiki/File:Pal%C3%A1cio_Anchieta_Escadaria_B%C3%A1rbara_Monteiro_Lindenberg_Vit%C3%B3ria_Esp%C3%ADrito_Santo_2019-4708.jpg
SCOUT-408,"Eliseu Visconti — A Lei Áurea (projeto para selo dos Correios, 1904)",BR,1903,estampa/selo postal,Alegoria da Lei Áurea / Abolição,NORMATIVO,20th,alto,no,https://commons.wikimedia.org/wiki/File:EliseuVisconti-A813-A_Lei_%C3%81urea_%E2%80%93_Projeto_para_selo_integrante_da_cole%C3%A7%C3%A3o_vencedora_do_Concurso_dos_Correios_de_1904.jpg
SCOUT-409,"Eliseu Visconti — A Mulher Brasileira (projeto para selo dos Correios, 1904)",BR,1903,estampa/selo postal,A Mulher Brasileira — personificação nacional,NORMATIVO,20th,alto,no,https://commons.wikimedia.org/wiki/File:EliseuVisconti-A814-A_Mulher_Brasileira_%E2%80%93_Projeto_para_selo_integrante_da_cole%C3%A7%C3%A3o_vencedora_do_Concurso_dos_Correios_de_1904.jpg
SCOUT-410,Selo Cabeça da Liberdade — Thesouro Nacional (1891),BR,1891,selo postal,Liberdade / República,FUNDACIONAL,19th,alto,no,https://commons.wikimedia.org/wiki/File:Stamp_of_Brazil_-_1891_-_Colnect_811739_-_Liberty_thesouro_nacional.jpeg
SCOUT-411,Brasiliana / Braziliana — personificação nacional feminina por J.B. Debret,BR,c. 1820,estampa/gravura,Brasiliana — personificação do Brasil,FUNDACIONAL,19th,alto,no,https://commons.wikimedia.org/wiki/File:Braziliana_ou_Brasiliana(Brazil_National_personification)_by_J_B_Debret.jpg
SCOUT-412,Alegoria à Lei do Ventre Livre (A.D. Bressae) — NYU Faculty Digital Archive,BR,c. 1871,estampa/gravura,Alegoria da Lei do Ventre Livre,FUNDACIONAL,19th,medio,no,https://archive.nyu.edu/handle/2451/61367
SCOUT-413,20.000 Réis Ouro — Efígie da República com Barrete Frígio (1889–1922),BR,1889-1922,moeda,A República / Efígie da República,FUNDACIONAL,19th,alto,no,https://en.numista.com/catalogue/pieces36131.html
SCOUT-414,A República nos braços de Floriano,BR,1891,estampa,A República,NORMATIVO,19th,alto,no,https://hemerotecadigital.bn.br/acervo-digital/revista-illustrada/332747
SCOUT-415,O mundo às avessas: voto feminino,BR,1917,estampa,Contra-alegoria,CONTRA-ALEGORIA,20th,alto,no,http://memoria.bn.br/docreader/116300/4346
SCOUT-416,A República em Leilão,BR,1904,estampa,A República,NORMATIVO,20th,alto,no,http://memoria.bn.br/DocReader/116300/4346
SCOUT-417,O Dia de Amanhã (Alegoria da República),BR,1889,estampa,A República,FUNDACIONAL,19th,alto,no,https://hemerotecadigital.bn.br/acervo-digital/o-mequetrefe/702390
SCOUT-418,100 Réis — Liberty (Série MCMI),BR,1901,moeda,Liberty / A República,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/pieces4333.html
SCOUT-419,200 Réis — Liberty (Série MCMI),BR,1901,moeda,Liberty / A República,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/pieces6440.html
SCOUT-420,400 Réis — Liberty (Série MCMI),BR,1901,moeda,Liberty / A República,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/pieces6773.html
SCOUT-421,"500 Réis — Efígie da República (prata, 1912)",BR,1912,moeda,A República,NORMATIVO,20th,alto,no,https://en.numista.com/catalogue/pieces14481.html
SCOUT-422,"1000 Réis — Efígie da República (prata .917, emissão inaugural 1889)",BR,1889,moeda,A República,FUNDACIONAL,19th,alto,no,https://en.numista.com/catalogue/pieces36319.html
SCOUT-423,50 Mil Réis — Cédula do Banco do Brazil (1890),BR,1890,cedula,"Alegoria do Governo, Alegoria da Justiça, Efígie da Liberdade",FUNDACIONAL,19th,alto,no,https://www.worldbanknotescoins.com/2015/02/brazil-50-mil-reis-banknote-1890-banco-do-brazil.html
SCOUT-424,20 Mil Réis — Cédula do Banco da República dos Estados Unidos do Brazil (c. 1890),BR,1890-1893,cedula,Alegoria da Liberdade,FUNDACIONAL,19th,medio,no,https://en.numista.com/catalogue/note222815.html
SCOUT-425,Alegoria da República Brasileira — Revista Illustrada (Angelo Agostini),BR,1889,estampa/gravura,A República,FUNDACIONAL,,alto,no,
SCOUT-426,Alegoria a Republica — Capa da Revista Illustrada n. 566 (Angelo Agostini),BR,1889,estampa/gravura,A República,FUNDACIONAL,19th,alto,no,
SCOUT-427,"Alegoria da Republica — Manoel Lopes Rodrigues (oleo sobre tela, 1896)",BR,1896,estampa/gravura,A República,NORMATIVO,,alto,no,
SCOUT-428,Alegoria a Lei de 13 de Maio de 1888 (estudo) — Decio Villares,BR,c. 1888,estampa/gravura,A República,FUNDACIONAL,,alto,no,
SCOUT-429,"Suffragistas — Fon-Fon, 16 de maio de 1914",BR,1914,estampa/gravura,A República,NORMATIVO,,alto,no,
SCOUT-430,"O Feminismo Triumphante — Revista da Semana, 20 maio 1933",BR,1933,estampa/gravura,A República,FUNDACIONAL,,alto,no,
SCOUT-431,"Republique de Clesinger (fotografia de demonstracao, Atelier Nadar)",FR,1900,estampa/gravura,marianne,NORMATIVO,19th,alto,no,
