id,image_url,fetch_status,license,custody,title_on_page,date_on_page,creator_on_page,source_url,recovery_round,notes
BE-5F-LEOPOLD-1832,https://en.numista.com/catalogue/photos/belgique/632d79ea2d2d24.40116509-original.jpg,hotlink_protected,© [Sincona AG](https://www.sincona.com/) (Not specified on page beyond copyright),Numista catalog #255 ([Numista](https://en.numista.com/catalogue/pieces255.html)),5 Francs - Léopold I,1832-1849 ([Numista](https://en.numista.com/catalogue/pieces255.html)),Joseph-Pierre Braemt ([Numista](https://en.numista.com/catalogue/artist.php?id=160)),https://en.numista.com/catalogue/pieces255.html,r2_browser,The main obverse image is provided by Sincona AG. The page also includes another obverse photo under CC BY-NC-SA by La Catastrophe ultraviolette. The coin features the head of King Leopold I of Belgium.
BE-CONGO-100F-1912,https://en.numista.com/catalogue/photos/belgian_congo_period/653abb8764bb34.20451540-original.jpg,hotlink_protected,© [CGB](http://www.cgb.fr/),[Numista catalog #258715](https://en.numista.com/258715),100 Francs,1912-1929,Bank of the Belgian Congo (Banque du Congo Belge),https://en.numista.com/258715,r2_browser,"Dimensions: 160 × 102 mm. The obverse features an allegory of a woman standing and holding a portrait of Ceres, with a boy and kneeling woman. Printed by National Bank of Belgium Printing Works."
BE-CONGO-1912,https://en.numista.com/catalogue/photos/belgian_congo_period/679e6044f26089.22885329-original.jpg,hotlink_protected,© [CGB](http://www.cgb.fr/),[Numista catalog #258714](https://en.numista.com/catalogue/note258714.html),20 Francs,1912-1937,[Bank of the Belgian Congo (Banque du Congo Belge)](https://en.numista.com/catalogue/issuing_entity.php?id=1501); Printer: [National Bank of Belgium Printing Works](https://en.numista.com/catalogue/printer.php?id=773),https://en.numista.com/catalogue/note258714.html,r2_browser,"The banknote features allegories of Europe and Africa, and a profile of a European woman in a medallion. The image is the obverse of the 20 Francs note. Image resolution is high as indicated by the 'original' suffix."
BE-IND-1880,https://en.numista.com/catalogue/photos/belgique/1661-original.jpg,hotlink_protected,© Heritage Auctions,"Numista catalog #27258, [Heritage Auctions](http://www.ha.com/)",5 Francs (50 Years of Belgium),1880,"Léopold Wiener (Obverse engraver), Charles Wiener (Reverse engraver), E. Devaux (Designer)",https://en.numista.com/catalogue/pieces27258.html,r2_browser,"The main artwork image provided is the reverse of the coin, which features the female allegory of Belgian Independence (a woman leaning on a lion with the Belgian constitution). The obverse features the busts of Kings Leopold I and Leopold II. Dimensions are 37 mm diameter, 25 g weight, composed of .900 Silver. Image source: [Numista](https://en.numista.com/catalogue/pieces27258.html)."
BR-1CR-1970,https://en.numista.com/catalogue/photos/bresil/626b7e240b4d30.10658314-original.jpg,hotlink_protected,[CC BY-NC](https://creativecommons.org/licenses/by-nc/4.0/deed.en) (© hex7ech),[Numista catalog #203551](https://en.numista.com/catalogue/note203551.html) (User contribution by hex7ech),1 Cruzeiro 2nd Edition; 1st Type; Stamp B,1972-1980,"[Benedito de Araújo Ribeiro](https://en.numista.com/catalogue/artist.php?id=3592) (Engraver), [Aloísio Sérgio Barbosa de Magalhães](https://en.numista.com/catalogue/artist.php?id=3074) (Designer), [Central Bank of Brazil](https://en.numista.com/catalogue/issuing_entity.php?id=900) (Issuing authority)",https://en.numista.com/catalogue/note203551.html,r2_browser,The main image shows the obverse of the 1 Cruzeiro banknote featuring the Effigy of the Republic. The banknote was printed by the Casa da Moeda do Brasil. Watermark: Effigies of the Republic. Dimensions: 147 × 66 mm.
BR-1000R-1906,https://en.numista.com/catalogue/photos/bresil/60c7ec6ad5f0a8.12081181-original.jpg,hotlink_protected,© Heritage Auctions ([Numista](https://en.numista.com/catalogue/pieces14484.html)),Numista catalog #N# 14484 ([Numista](https://en.numista.com/catalogue/pieces14484.html)),1000 Réis ([Numista](https://en.numista.com/catalogue/pieces14484.html)),1906-1912 ([Numista](https://en.numista.com/catalogue/pieces14484.html)),Mint of Brazil (Casa da Moeda do Brasil) ([Numista](https://en.numista.com/catalogue/pieces14484.html)),https://en.numista.com/catalogue/pieces14484.html,r2_browser,"The image URL provided is the obverse of the 1000 Réis coin, which features the laureate liberty head allegory. The page also mentions a CC BY-NC license for another photo (edge view) by Renato Lima, but the primary obverse/reverse image is credited to Heritage Auctions. Dimensions: 26 mm diameter, 10 g weight, 2.1 mm thickness. Composition: Silver (.900)."
BR-2000R-1907,https://en.numista.com/catalogue/photos/bresil/60c7ebdbf37922.85395434-original.jpg,hotlink_protected,© Heritage Auctions,"Numista catalog #14489, [Heritage Auctions](http://www.ha.com/)",2000 Réis,1907 (1906-1912),Mint of Brazil (Casa da Moeda do Brasil),https://en.numista.com/catalogue/pieces14489.html,r2_browser,"The image shows the obverse of a Brazilian 2000 Réis silver coin featuring the symbolic effigy of the Republic wearing a Phrygian cap (Republic allegory). Dimensions: 33 mm diameter, 20 g weight. Metal: Silver .900. Numista rarity index: 12. Resolution: 1690x1689. [Source Page](https://en.numista.com/catalogue/pieces14489.html)"
BR-009,https://acervos.ims.com.br/service.php/File/13350_ca_object_representations_media_8449_medium.jpg,verified_direct,Requer liberação de direitos junto ao detentor (Instituto Moreira Salles),"Instituto Moreira Salles, Marcel Gautherot Collection","""A Justiça"", escultura de Alfredo Ceschiatti",circa 1968,"Marcel Gautherot (Photographer), Alfredo Ceschiatti (Sculptor)",https://acervos.ims.com.br/index.php/Detail/objects/18758,r2_browser,"The page describes a photograph by Marcel Gautherot of the sculpture 'A Justiça' by Alfredo Ceschiatti. The image URL provided is the medium-resolution version; higher resolutions (large, original) returned a 403 Forbidden error, indicating they are restricted. Dimensions of the original negative are 6x6 cm. Identifier: 010ACDF27248.jpg."
DE-013,https://www.dhm.de/lemo/fileadmin/medien/lemo/images/g0000016.jpg?v=1410285066,verified_direct,Not specified on page,"Deutsches Historisches Museum, Berlin (Inv.-Nr.: 1988/82)","""Germania""",1914,Friedrich August von Kaulbach (1850-1920),https://www.dhm.de/lemo/bestand/objekt/gemaelde-friedrich-august-von-kaulbach-germania-1914,r2_browser,"The painting is titled 'Germania' (also referred to as 'Deutschland August 1914'). Dimensions: 192 x 148,8 cm. Medium: Oil on canvas. Image provided by Deutsches Historisches Museum. No explicit CC or Public Domain license was found on the page or in the general site impressum, though the artist died in 1920."
BR-50CR-1965,https://en.numista.com/catalogue/photos/bresil/2528-original.jpg,hotlink_protected,© Essor Prof (Not specified on page),[Numista catalog #9337](https://en.numista.com/9337),50 Cruzeiros,1965,[Mint of Brazil (Casa da Moeda do Brasil)](https://en.numista.com/catalogue/mint.php?id=1335),https://en.numista.com/9337,r2_browser,"The primary image shows the obverse of the 50 Cruzeiros coin featuring the Head of Liberty. The page provides two versions of the obverse image; the first one (attributed to Essor Prof) is chosen as the primary asset. No specific Creative Commons license is explicitly stated for the first image, while a secondary image by Renato Lima is licensed under CC BY-NC. The coin is made of Copper-nickel and has a diameter of 18 mm."
DE-015,https://germanhistorydocs.org/media/volume-4/image-1408/20635_ca_object_representations_media_4168_frontend.jpg,verified_direct,"Not specified on page (Image source: Kladderadatsch, Jg. 24, no. 22 (May 14, 1871), p. 88)",Universitätsbibliothek Heidelberg,Bismarck Leads Alsace and Lorraine into the Empire (1871),"May 14, 1871",Wilhelm Scholz,https://germanhistorydocs.ghi-dc.org/sub_image.cfm?image_id=1408,r2_browser,The artifact is a cartoon titled 'Guter Rath ist theuer' (Good Advice is Costly) from the satirical magazine Kladderadatsch. It depicts Bismarck leading Alsace and Lorraine (represented as two boys) to Germania and the Reichstag. The image is hosted on the German History in Documents and Images (GHDI) website as image ID 1408.
DE-100M-1908,https://en.numista.com/catalogue/photos/allemagne-pre1945/5e9977f0b04a97.99272269-original.jpg,hotlink_protected,© caesar1990 (Not specified on page beyond contributor credit),[Numista catalog #203616](https://en.numista.com/catalogue/note203616.html),100 Mark (Reichsbanknote; two green seals),"February 7, 1908",Designer: [Paul Thumann](https://en.numista.com/catalogue/artist.php?id=1930); Engraver: [Hans Meyer](https://en.numista.com/catalogue/artist.php?id=6246); Issuing authority: [Reichsbank](https://en.numista.com/catalogue/issuing_entity.php?id=1036),https://en.numista.com/catalogue/note203616.html,r2_browser,"The main artwork featuring the allegory (Germania) is on the reverse of this banknote. Dimensions: 160 × 102.5 mm. Printer: Bundesdruckerei (Reichsdruckerei), Berlin."
DE-1000M-1910,https://en.numista.com/catalogue/photos/allemagne-pre1945/5e99822ee08084.55357445-original.jpg,hotlink_protected,© caesar1990,[Numista catalog #203637](https://en.numista.com/catalogue/note203637.html) (user contribution by caesar1990),1000 Mark (Reichsbanknote; two green seals),21 April 1910,"[Hans Meyer (Engraver)](https://en.numista.com/catalogue/artist.php?id=6246), [Ferdinand Luthmer (Designer)](https://en.numista.com/catalogue/artist.php?id=5281), [Otto Knille (Designer)](https://en.numista.com/catalogue/artist.php?id=9387), [Reichsbank (Issuing bank)](https://en.numista.com/catalogue/issuing_entity.php?id=1036)",https://en.numista.com/catalogue/note203637.html,r2_browser,Banknote dimensions: 184 × 109 mm. The obverse features brown print on textured paper with two green seals and a 7-digit serial number. Printed by [Bundesdruckerei](https://en.numista.com/catalogue/printer.php?id=72) (Berlin). The image provided is the obverse; the reverse also features allegorical artwork.
DE-50M-1919,https://en.numista.com/catalogue/photos/allemagne-pre1945/5fb93b5e466681.51367110-original.jpg,hotlink_protected,© nordboutik59 (Obverse image),[Numista catalog N#202186](https://en.numista.com/catalogue/note202186.html),50 Mark Reichsbanknote,"June 24, 1919","Reichsbankdirektorium (Issuing Authority); Printers: [Bundesdruckerei (Reichsdruckerei)](https://en.numista.com/catalogue/printer.php?id=72), [Österreichische Staatsdruckerei](https://en.numista.com/catalogue/printer.php?id=3066), [Otto Elsner Buchdruckerei und Verlagsbuchhandlung](https://en.numista.com/catalogue/printer.php?id=3065), [W.(ilhelm) Büxenstein](https://en.numista.com/catalogue/printer.php?id=3064)",https://en.numista.com/catalogue/note202186.html,r2_browser,The banknote features an allegorical ideal woman on the obverse. It is also known as the 'Wiener' (Viennese) type as some were printed in Vienna using a process invented by the Austro-Hungarian Bank. Original image resolution is high as indicated by the 'original' suffix in the URL.
DE-WR-1919-50M,https://numizon.s3.amazonaws.com/media/banknote/w/DEU_P066_B222_10MK-xs.jpg,verified_direct,"© 2018-2023, Numizon. Tous droits réservés. [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/)","Numizon catalog Pick #66, The Banknote Book B222, RO-62 [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/)",Reichsbanknotes 50 mark type 1919 [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/),"June 24, 1919 [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/)","Reichsbank (issuing authority). Signatures: Havenstein & von Glasenapp, Schmiedicke, von Lumm, von Grimm, Kauffmann, Schneider, Budczies, Bernhard, Seiffert, Vocke. [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/)",https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/,r2_browser,The main image is an allegory of Germania on a 50 mark banknote from the Weimar Republic era. Full-resolution images require a free account; the provided URL is for the standard visible version. [Numizon](https://www.numizon.com/en/banknote/germany-reichsbanknotes-50-mark-type-1919-pick-66/deu-p66/)
DE-WR-1924-50PF,https://en.numista.com/catalogue/photos/allemagne-pre1945/6945731332adf5.85326659-original.jpg,hotlink_protected,CC BY-NC-SA 4.0 (attribution: Janusik),Numista catalog #2546,50 Reichspfennig,1927-1938,Not specified on page,https://en.numista.com/catalogue/pieces2546.html,r2_browser,"The obverse image shows an Imperial eagle and oak leaves. The image URL provided is the 'original' resolution link from the page. The license is specified as CC BY-NC-SA for the Janusik contribution. The page mentions several mints: Berlin, Munich, Muldenhütten, Stuttgart, Karlsruhe, and Hamburg."
ES-003,https://en.numista.com/catalogue/photos/espagne/6a3c4bb41add61.87360487-original.jpg,hotlink_protected,CC BY-NC-SA (© La Catastrophe ultraviolette),Numista catalog #6722,5 Pesetas - Provisional Government,1870,Luis Marchionni y Hombrón (Engraver); Provisional Government (Issuing authority),https://en.numista.com/6722,r2_browser,"The main image represents the obverse of the 5 Pesetas coin, featuring an allegory of Hispania reclining. Technical details: Silver (.900), Weight: 25 g, Diameter: 37 mm. Metal: Silver. Orientation: Coin alignment."
ES-004,https://en.numista.com/catalogue/photos/espagne/667985da37f959.54318886-original.jpg,hotlink_protected,"© Aureo & Calicó S.L., subastas numismáticas","Numista catalog #11169 (image courtesy of [Aureo & Calicó S.L., subastas numismáticas](https://www.aureo.com/))",1 Peseta - II Republic,1933 (1934),José Eusebio Espinós Gisbert,https://en.numista.com/catalogue/pieces11169.html,r2_browser,"The main image shows the obverse of a 1 Peseta silver coin (.835) from the Spanish Second Republic, featuring an allegory of Seated Hispania facing left, holding an olive branch. Dimensions: 23 mm diameter, 5 g weight. [Source](https://en.numista.com/catalogue/pieces11169.html)"
FR-001,https://gallica.bnf.fr/ark:/12148/btv1b531737635/f1.highres,hotlink_protected,Public domain,"Bibliothèque nationale de France, département Estampes et photographie, FOL-DC-3617","[La Justice, la Vengeance et la Vérité] : [estampe] / F. Chifflart",1865,"Chifflart, François-Nicolas (1825-1901). Graveur",https://gallica.bnf.fr/ark:/12148/btv1b531737635,r2_browser,"The image is an etching (eau-forte) by François-Nicolas Chifflart, published in the album 'Improvisations sur cuivre' in 1865. The dimensions of the print are 23.9 x 31.7 cm. The allegory depicts Justice, Vengeance, and Truth."
FR-002,https://gallica.bnf.fr/ark:/12148/btv1b531737529/f1.highres,hotlink_protected,Public domain,"Bibliothèque nationale de France, département Estampes et photographie, FOL-DC-3617",Le triomphe de la Justice et de la Vérité : [estampe] (Etat avec la lettre complète) / F. Chifflart sculp.,1865,"Chifflart, François-Nicolas (1825-1901). Graveur",https://gallica.bnf.fr/ark:/12148/btv1b531737529,r2_browser,"The artwork is an etching (eau-forte) depicting the triumph of Justice and Truth. It was published in the album 'Improvisations sur cuivre' in 1865 by Cadart et Luquet in Paris. The image shows an allegory of Justice (winged figure with scales) atop a pedestal supported by other figures. Dimensions: 31.4 x 23.7 cm. The page encountered Cloudflare and Altcha bot protection, which may affect automated extraction, but the high-resolution resource link was identified."
FR-005,https://gallica.bnf.fr/ark:/12148/btv1b531842166/f1.highres,hotlink_protected,Public domain [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166),"Bibliothèque nationale de France, département Estampes et photographie, RESERVE CC-82 (B, 2)-FOL [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166)","[La République aimable] : [estampe] ([Etat unique]) / F.R, [Félicien Rops] [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166)",1871 [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166),"Rops, Félicien (1833-1898). Graveur [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166)",https://gallica.bnf.fr/ark:/12148/btv1b531842166,r2_browser,"The image URL is the high-resolution version provided by Gallica's internal highres endpoint. The artwork is an engraving by Félicien Rops titled '[La République aimable]'. Dimension/Format: 1 est. : eau-forte, pointe sèche. [Gallica](https://gallica.bnf.fr/ark:/12148/btv1b531842166)"
FR-003,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53173732g/f1/full/max/0/default.jpg,hotlink_protected,Public domain,"Bibliothèque nationale de France, département Estampes et photographie, FOL-DC-3617",[L'envoyé de la Justice] : [estampe] / F. Chifflart,1859,"Chifflart, François-Nicolas (1825-1901). Graveur",https://gallica.bnf.fr/ark:/12148/btv1b53173732g,r2_browser,The artwork is a 19th-century engraving (etching) titled 'L'envoyé de la Justice' by François-Nicolas Chifflart. It depicts a winged figure representing a messenger of Justice. The direct image URL is provided through the BnF Gallica IIIF service at maximum resolution.
FR-CERES-5F-1849,https://en.numista.com/catalogue/photos/france/10467-original.jpg,hotlink_protected,© alb22 (Not specified on page),Numista catalog #1181,"5 Francs Ceres, 2nd republic",1849-1851,Eugène-André Oudiné (Engraver),https://en.numista.com/catalogue/pieces1181.html,r2_browser,"The image depicts the obverse of the 5 Francs Ceres coin from the French Second Republic, featuring the bust of Ceres facing left. The engraver is Eugène-André Oudiné. The copyright for the specific image is attributed to user 'alb22'."
FR-004,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10574064v/f1/full/max/0/default.jpg,hotlink_protected,Public domain,[Bibliothèque municipale de Toulouse](https://gallica.bnf.fr/ark:/12148/btv1b10574064v),"""Estampes représentant des naïades et "" Marianne "" enseignant l'alphabet à des enfants",1859-1910,"[Perbosc, Antonin (1861-1944). Photographe](https://gallica.bnf.fr/ark:/12148/btv1b10574064v)",https://gallica.bnf.fr/ark:/12148/btv1b10574064v,r2_browser,"The image shows two prints: one of naiads and one of Marianne (the allegory of the French Republic) teaching the alphabet to children. The latter is the allegory requested. Direct image URL is derived from the IIIF endpoint. The custodian is the Bibliothèque municipale de Toulouse, as indicated on the page."
FR-006,https://gallica.bnf.fr/ark:/12148/btv1b8438243t/f1.highres,hotlink_protected,[Public domain](https://gallica.bnf.fr/ark:/12148/btv1b8438243t),"[Bibliothèque nationale de France, département Bibliothèque-musée de l'opéra, ESTAMPES SCENES Lohengrin (39)](https://gallica.bnf.fr/ark:/12148/btv1b8438243t)","[The french crisis. Madame La République. ""Herr Germany has refused, and mrs England declines my invitation for 1889. Shall I put it off?"" General B-l-n-g-r. ""1889? Ahem ! No ; leave it as it is. A good deal may happen before that date !""](https://gallica.bnf.fr/ark:/12148/btv1b8438243t)",[1887](https://gallica.bnf.fr/ark:/12148/btv1b8438243t),"[Punch, or the London charivari (Londres)](https://gallica.bnf.fr/ark:/12148/btv1b8438243t)",https://gallica.bnf.fr/ark:/12148/btv1b8438243t,r2_browser,"The image shows a satirical engraving featuring 'Madame La République' (Marianne) and General Boulanger. The source is a press image from 'Punch, or the London charivari'. The high-resolution image was extracted from the site's highres link. Resolution is 1024x1363."
FR-PIAST-1885,https://en.numista.com/catalogue/photos/indochine/141-original.jpg,hotlink_protected,© Heritage Auctions,"Numista catalog #4510, Heritage Auctions (image contributor)",1 Piastre,1885-1895,Jean-Auguste Barre,https://en.numista.com/catalogue/pieces4510.html,r2_browser,"Obverse image shows Marianne seated left with fasces. Image resolution is 1200x1200px based on typical 'original' naming on Numista, though actual dimensions depend on the asset. Date on the specific obverse image shown is 1895."
FR-SEM-1898,https://en.numista.com/catalogue/photos/france/5f9b4a9730ac41.17367146-original.jpg,hotlink_protected,© nordboutik59,"Numista catalog #682, user contribution by nordboutik59",1 Franc,1898-1920,Louis-Oscar Roty,https://en.numista.com/catalogue/pieces682.html,r2_browser,"The image depicts the obverse of a French 1 Franc coin featuring 'The Sower' (Semeuse), a national allegory of the French Republic designed by Oscar Roty. The obverse photo is credited to Numista user nordboutik59."
FR-SEM-SELO-1903,https://upload.wikimedia.org/wikipedia/commons/3/34/Semeuse_lignee_de_1903.JPG,verified_direct,Public domain,Wikimedia Commons,Semeuse lignee de 1903,1903,Louis-Oscar Roty / Louis-Eugene Mouchon,https://commons.wikimedia.org/wiki/File:Semeuse_lignee_de_1903.JPG,r2_manual_review,Manual review correction: replaced the 1960 5 Francs coin obverse with the 1903 Semeuse stamp image from Wikimedia Commons.
IT-006,https://en.numista.com/catalogue/photos/italie/5f8b3d7716d705.15931157-original.jpg,hotlink_protected,© Joseph Kunnappally,Numista catalog #304,100 Lire large type,1955-1989,"[Pietro Giampaoli](https://en.numista.com/catalogue/artist.php?id=2312) (Engraver), [Giuseppe Romagnoli](https://en.numista.com/catalogue/artist.php?id=371) (Designer)",https://en.numista.com/catalogue/pieces304.html,r2_browser,"Obverse shows a female head with laurel wreath (allegory of the Italian Republic). Dimensions: 27.8 mm diameter, 2.0 mm thickness, 8 g weight. Composition: Acmonital."
PT-006,https://en.numista.com/catalogue/photos/portugal/62ca16b378eeb7.91085143-original.jpg,hotlink_protected,© nordboutik59,Numista catalog #907,1 Escudo,1927-1968,"José Simões de Almeida, Domingos Alves do Rego",https://en.numista.com/catalogue/pieces907.html,r2_browser,The image shows the obverse of the 1 Escudo coin featuring the Liberty head (Republic allegory). Composition: Nickel brass (Cu 610 + Zn 200 + Ni 190). Weight: 8 g. Diameter: 26.8 mm. Thickness: 2 mm. Orientation: Medal alignment.
