item_title,country,year,medium,source_url,image_url,visual_description_body_posture,visual_description_attributes
Germania Spielmarke (Token),Germany,1890,historical engraving,https://en.numista.com/catalogue/exonumia468228.html,https://en.numista.com/catalogue/photos/exonumia/672776c5b05615.17697193-original.jpg,Germania is depicted standing and facing left. She is fully armored in a breastplate and classical robes.,"She holds a sword in one hand and a shield in the other, symbolizing the defense of the nation."
Germania 1844 Industrial Exhibition Medal,Germany,1844,historical engraving,https://en.numista.com/catalogue/exonumia143956.html,https://en.numista.com/catalogue/photos/exonumia/17926-original.jpg,"Germania is shown seated on a throne, turned left. She is fully clothed in noble attire.",She is surrounded by symbols of German industry and trade.
Marianne type Dulac,France,1944,stamp,https://colnect.com/en/stamps/stamp/26385-Marianne_type_Dulac-Marianne_de_Dulac-France,https://i.colnect.net/items/f/870/683/Marianne-type-Dulac.jpg,"Marianne is depicted with a profile head but with prominent wings behind her, symbolizing the flight of freedom.",She wears the Phrygian cap. The wings are her most distinctive attribute in this 'London issue'.
Republic Allegory Dyer Issue,Brazil,1890,stamp,https://colnect.com/en/stamps/stamp/1626685-Republic_Alegory_-_Dyer-Brazil,https://i.colnect.net/items/f/3342/685/Republic-Alegory---Dyer.jpg,A female head representing the Republic in profile facing left. She is depicted with a serene expression.,She wears a laurel wreath and a Phrygian cap.
5 Francs 50 Years of Belgium,Belgium,1880,coin,https://en.numista.com/catalogue/pieces27258.html,https://en.numista.com/catalogue/photos/belgique/1660-original.jpg,"On the reverse, a female allegory of Belgium is seated, leaning on a lion. She is fully clothed in classical drapery.",She holds a tablet of the Belgian Constitution.
Belgian Constitution Medal,Belgium,1831,historical engraving,https://en.numista.com/catalogue/exonumia297059.html,https://en.numista.com/catalogue/photos/exonumia/61a7a03001e745.38531980-original.jpg,"An allegory of Belgium stands rigidly, representing the foundation of the state. She is fully clothed in a gown.",She holds a scepter and the document of the constitution.
Penny Britannia (Old Head),UK,1895,coin,https://en.numista.com/catalogue/pieces1121.html,https://en.numista.com/catalogue/photos/royaume-uni/201-original.jpg,"Britannia is seated on a rock, facing right. She is fully clothed in classical robes with a helmet.",She holds a trident in her right hand and a shield in her left. A lighthouse and a ship are visible in the background.
10 Francs Marianne (Jimenez),France,1986,coin,https://en.numista.com/catalogue/pieces674.html,https://en.numista.com/catalogue/photos/france/181-original.jpg,"A stylized profile of Marianne looking left. Her hair is flowing, giving a sense of movement. She is shown from the shoulders up.","She wears the Phrygian cap, which is integrated into the modern, artistic design."
100 Reis Republica,Brazil,1889,coin,https://en.numista.com/catalogue/pieces1087.html,https://en.numista.com/catalogue/photos/bresil/1304-original.jpg,A profile bust of the female effigy of the Republic facing left. She is fully clothed.,She wears a Phrygian cap and a laurel wreath.
Walking Liberty Half Dollar,USA,1916,coin,https://en.numista.com/catalogue/pieces4455.html,https://en.numista.com/catalogue/photos/etats-unis/205-original.jpg,"Liberty is shown moving towards the left, walking toward the sun. She is draped in the American flag which flows around her body.",She carries a bundle of oak and olive branches in her left arm and extends her right hand as if in a gesture of welcome.
