id,title,date,year,period,period_norm,creator,country,country_pt,medium,medium_norm,support,source_archive,url,thumbnail_url,description,citation_abnt,motif_str,tags_str,in_scope,scope_note,desincorporacao,rigidez_postural,dessexualizacao,uniformizacao_facial,heraldizacao,enquadramento_arquitetonico,apagamento_narrativo,monocromatizacao,serialidade,inscricao_estatal,purificacao_composto,regime_iconocratico,coded_by,coded_at,notes
BR-004,Jardim do Campo da Aclamação (Campo de Santana): estátuas do Outono e da Primavera,c. 1925,1925,Old Republic (1889–1930),República/Império (BR),Guilherme Santos (photographer),Brazil,Brasil,"Photograph (Gelatin/Silver, sepia)",Fotografia,fotografia,Brasiliana Fotográfica,https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/11529,https://brasilianafotografica.bn.gov.br/brasiliana/bitstream/handle/20.500.12156.1/11529/002080RJ0118.jpg.jpg?sequence=2&isAllowed=y,"Sepia photograph showing female allegorical statues representing the seasons of Autumn and Spring in Campo de Santana (formerly Campo da Aclamação), Rio de Janeiro. Female figures as seasonal allegories in a republican public space — note the location at Praça da República.","SANTOS, Guilherme. Jardim do Campo da Aclamação, atual Campo de Santana; estátuas do Outono e da Primavera. c. 1925. 1 fotografia, gelatina/prata, sépia, 4,5 x 11 cm. Instituto Moreira Salles. Disponível em: https://brasilianafotografica.bn.gov.br/brasiliana/handle/20.500.12156.1/11529.","Alegoria feminina, Estações, Escultura, Jardim público","female allegory, seasons, sculpture, Campo de Santana, Rio de Janeiro",True,,0,1,1,1,0,0,1,2,1,0,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-005,Alegoria da República (Décio Villares),c. 1900,1900,Early Republic (1889–1930),República/Império (BR),Décio Villares (1851–1931),Brazil,Brasil,"Oil on canvas (sketch, 97 × 77 cm)",Pintura/Desenho,pintura,NYU Faculty Digital Archive / Brasiliana Museus,https://archive.nyu.edu/handle/2451/61396,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/D%C3%A9cio_Villares_-_A_Rep%C3%BAblica.jpg/800px-D%C3%A9cio_Villares_-_A_Rep%C3%BAblica.jpg,"Allegorical painting of the Brazilian Republic by Décio Villares, the positivist artist who designed the blue disc on Brazil's national flag. The female figure wears a Phrygian cap inscribed with 'Ordem e Progresso' — directly linking republican feminine allegory to positivist ideology. Key work for understanding how European allegorical forms were transplanted and adapted in Brazilian republican iconography.","VILLARES, Décio. Alegoria da República. c. 1900. 1 pintura, óleo sobre tela, 97 x 77 cm. Museu Histórico Nacional. Disponível em: https://archive.nyu.edu/handle/2451/61396.","República, Alegoria feminina, Positivismo, Barrete frígio","Republic, female allegory, positivism, Phrygian cap, Ordem e Progresso, painting",True,,1,1,2,1,1,0,1,0,1,2,1.0,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-006,Alegoria da República (Carlos Chambelland),1922,1922,Old Republic (1889–1930),República/Império (BR),Carlos Chambelland,Brazil,Brasil,Oil on canvas (202 × 152 cm),Pintura/Desenho,pintura,Brasiliana Museus,https://brasiliana.museus.gov.br/acervos/alegoria-da-republica/,,"Allegorical painting commissioned for Brazil's centennial of independence (1922). Female figure in flowing white and green robes, arm raised, accompanied by an angel, with male figures holding manuscripts below — blending republican allegory with national celebration.","CHAMBELLAND, Carlos. Alegoria da República. 1922. 1 pintura, óleo sobre tela, 202 x 152 cm. Museu Histórico Nacional. Disponível em: https://brasiliana.museus.gov.br/acervos/alegoria-da-republica/.","República, Alegoria feminina, Centenário, Anjo","Republic, female allegory, centennial, painting, angel",True,,1,1,2,1,1,0,0,0,0,1,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-007,As Estátuas Fallando (The Statues Speaking) — Justiça,1827,1827,Empire (1822–1889),República/Império (BR),Unknown (periodical 'BRASIL'),Brazil,Brasil,Periodical text,Outro,texto,Hemeroteca Digital Brasileira,http://memoria.bn.br/pdf/702390/per702390_1827_00060.pdf,,"Article titled 'As Estátuas Fallando' (The Statues Speaking) featuring a literary dialogue where Justice appears as an animated statue character. 'A Verdade: Que dizes, ó Justiça?' (Truth: What do you say, oh Justice?). Early Brazilian example of Justice personified as a speaking female figure in periodical press.","AS ESTÁTUAS fallando. Brasil, n. 60, 1827. p. [s.n.]. Disponível em: http://memoria.bn.br/pdf/702390/per702390_1827_00060.pdf.","Justiça, Estátua falante, Diálogo alegórico, Verdade","Justice, speaking statues, allegory, periodical, Empire, Truth",True,,3,3,3,3,2,3,1,3,2,0,2.3,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-008,Estátua da Justiça (Luiz Rochet) — referência no Almanak Laemmert,1872 (inaugurated); 1929 (reference),1872,Empire (1822–1889) / Old Republic,República/Império (BR),Luiz Rochet (sculptor); Almanak Laemmert (source),Brazil,Brasil,Periodical reference to sculpture,Outro,texto,Hemeroteca Digital Brasileira,http://memoria.bn.br/docreader/webindex/WIPagina/313394/101306,,"Reference in the Almanak Laemmert (1929 edition) to the statue of Justice by French sculptor Luiz Rochet, inaugurated September 1872. Alongside statues of History, Poetry and Science. Documents the importation of French allegorical sculpture into Brazilian public space.","ALMANAK Laemmert. Rio de Janeiro, 1929. ed. A00085, p. 542. Disponível em: http://memoria.bn.br/docreader/webindex/WIPagina/313394/101306.","Justiça, Estátua, Escultor francês, Praça pública","Justice, statue, French sculptor, public space, imported allegory",True,,3,3,3,3,2,3,3,3,2,0,2.5,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-009,"A Justiça (Alfredo Ceschiatti, STF Brasília)",1961,1961,Cold War,Séc. XX,Alfredo Ceschiatti,Brazil,Brasil,Granite sculpture,Outro,monumento,Instituto Moreira Salles,https://acervos.ims.com.br/index.php/Detail/objects/18758,,"Monumental granite sculpture of Justice (Themis) seated before the Supreme Federal Tribunal in Brasília. Eyes closed, holding a sword with both hands. Designed to complement Oscar Niemeyer's modernist architecture. The Brazilian Justiça — a seated, blindfolded, sword-bearing woman as the face of the highest court. Attacked on January 8, 2023, making it a central object in the dissertation's analysis of iconoclasm and legal literacy.","CESCHIATTI, Alfredo. A Justiça. 1961. 1 escultura em granito. Supremo Tribunal Federal, Praça dos Três Poderes, Brasília. Disponível em: https://acervos.ims.com.br/index.php/Detail/objects/18758.","Justiça, Justice, Themis, blindfold, sword, modernism","Justiça, Ceschiatti, STF, Brasília, Niemeyer, modernism, granite, January 8",True,,2,2,2,2,1,2,3,2,3,3,2.2,militar,iconocode-opus,2026-03-31T23:00:00Z,
BR-010,"Eliseu Visconti — Alegoria (Biblioteca Nacional, Rio de Janeiro)",1910,1910,Early Republic (1889–1930),República/Império (BR),Eliseu Visconti,Brazil,Brasil,Decorative panel (oil),Pintura/Desenho,pintura,Eliseu Visconti Project,https://eliseuvisconti.com.br/obra/d702/,,Impressionist-style allegorical panel for the Presidential Room of the Biblioteca Nacional in Rio de Janeiro. Female allegorical figure in Visconti's distinctive impressionist idiom — the French-trained Brazilian artist adapting European allegorical vocabulary to national institutional decoration. A key example of transatlantic visual transfer.,"VISCONTI, Eliseu. Alegoria (Biblioteca Nacional). 1910. 1 painel decorativo, óleo. Fundação Biblioteca Nacional, Rio de Janeiro. Disponível em: https://eliseuvisconti.com.br/obra/d702/.","Alegoria feminina, Republic, impressionism","allegory, Visconti, impressionism, Biblioteca Nacional, Rio de Janeiro, Republic",True,,0,0,1,1,0,1,1,0,0,1,0.5,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
BR-016,Alegoria da República (Estados Unidos do Brasil),1896,1896,Early Republic (1889–1930),República/Império (BR),Manuel Lopes Rodrigues,Brazil,Brasil,Oil on canvas,Pintura,pintura,Museu de Arte da Bahia,,,"Seated female allegory of the Brazilian Republic enthroned. Wears white classical dress with green mantle (national colors), laurel crown with red Phrygian cap, golden necklace. Right hand rests on a sword, left hand on the throne's armrest with lion-head finials. Palm frond at her feet. Background mosaic inscription 'ESTADOS UNIDOS DO BRASIL' with Roman numeral MDCCCLXXXIX (1889, date of Republic proclamation). Ornamental border with blue rosettes.","LOPES RODRIGUES, Manuel. Alegoria da República (Estados Unidos do Brasil). 1896. 1 pintura, óleo sobre tela. Museu de Arte da Bahia, Salvador.","Alegoria feminina, República, Trono","female allegory, Republic, throne, sword, Phrygian cap, national colors, Brazil",True,,1,2,2,2,2,3,2,0,1,3,1.8,fundacional,iconocode-opus-4.6-metadata-refined,2026-04-07,
BR-1000R-1906,"1000 Réis — Efígie da República (Brasil, 1906–1912)",1906-1912,1906,1906-1912,1906-1912,,Brazil,Brasil,Moeda,Moeda,moeda,Casa da Moeda do Brasil,https://en.numista.com/catalogue/pieces14484.html,,A República,,A República,"corpus/candidato, pais/BR, suporte/moeda, regime/normativo, motivo/republica",True,,,,,,,,,,,,,,,,
BR-1CR-1970,1 Cruzeiro (cédula) — Efígie da República (2ª edição),1970-1972,1970,1970-1972,1970-1972,,Brazil,Brasil,Papel-moeda,Papel-moeda,papel-moeda,Numista,https://en.numista.com/catalogue/note203551.html,,A República (efígie em medalha),,A República (efígie em medalha),"corpus/candidato, pais/BR, suporte/papel-moeda, regime/normativo, motivo/republica, #sem-iiif",True,,,,,,,,,,,,,,,,
BR-2000R-1907,2000 Réis — Efígie da República com Barrete Frígio,1906-1912,1907,Old Republic (1906-1912),República Velha (1906-1912),Casa da Moeda do Brasil,Brazil,Brasil,"Coin (silver .900, 20g)",coin,moeda,Numista,https://en.numista.com/catalogue/pieces14489.html,,"Bust of the Republic wearing Phrygian cap, profile facing left. Inscription: REPUBLICA DOS ESTADOS UNIDOS DO BRAZIL. Reverse: denomination and date within wreath. Positivist Republic period. Transplant of French Marianne Pathosformel to Brazilian context.","CASA DA MOEDA DO BRASIL. 2000 Réis — Efígie da República. 1906-1912. Moeda, prata .900, 20 g. Disponível em: https://en.numista.com/catalogue/pieces14489.html. Acesso em: 01 abr. 2026.",A República,"female allegory, A República, Phrygian cap, positivism",True,,3,3,3,3,2,2,3,4,4,4,3.1,normativo,iconocode-opus,2026-04-01T12:00:00Z,
BR-50CR-1965,50 Cruzeiros — Efígie da República (Benedito Ribeiro / Tônia Carreiro),1965,1965,1965,1965,,Brazil,Brasil,Moeda,Moeda,moeda,Numista,https://en.numista.com/9337,,A República (efígie),,A República (efígie),"corpus/candidato, pais/BR, suporte/moeda, regime/normativo, motivo/republica, #sem-iiif",True,,,,,,,,,,,,,,,,
DE-001,"Gerechtigkeitsbrunnen mit Plastik der Justitia (Hans Gieng, 1543)",1543,1543,Renaissance,Renascimento/Moderno Inicial,Hans Gieng (sculptor),Switzerland,Suíça,Sculpture (fountain),Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/que20183316,https://www.bildindex.de/document/que20183316?part=0&medium=fmk45-ho-0136a,"The Gerechtigkeitsbrunnen (Fountain of Justice) in Bern — the first known blindfolded representation of Lady Justice (1543). Hans Gieng's statue holds sword and scales, blindfolded, standing atop vanquished figures representing worldly power (pope, sultan, emperor, magistrate). A foundational image in the history of legal iconography.","GIENG, Hans. Gerechtigkeitsbrunnen mit Plastik der Justitia. 1543. 1 escultura, fonte. Bern, Gerechtigkeitsgasse. Bildarchiv Foto Marburg. Disponível em: https://www.bildindex.de/document/que20183316.","Justitia, Justice, blindfold, sword, scales","Justitia, fountain, blindfold, Renaissance, Bern, Switzerland, legal iconography",False,"Bern Justitia fountain (1543) — iconic Nachleben reference, pre-period",1,1,1,1,0,1,0,0,0,2,0.7,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-002,Justitia (marble head from Porta di Capua),1239–1240,1239,Medieval,Renascimento/Moderno Inicial,Unknown (Hohenstaufen workshop),Italy,Itália,Marble sculpture (head),Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj08148970,https://www.bildindex.de/document/obj08148970?part=0&medium=bh798728,"Marble head of Justitia from the Porta di Capua, built under Emperor Frederick II. One of the earliest surviving medieval personifications of Justice as a woman — predating the Renaissance tradition. Connected to the Hohenstaufen revival of Roman legal imagery.","JUSTITIA (cabeça em mármore da Porta di Capua). 1239–1240. 1 escultura em mármore. Museo Provinciale Campano, Capua. Disponível em: https://www.bildindex.de/document/obj08148970.","Justitia, Justice, Frederick II","Justitia, medieval, Frederick II, Hohenstaufen, Capua, marble, legal iconography",False,"Medieval Italian Justitia — Porta di Capua, no republican context",2,2,3,2,3,3,3,3,0,3,2.4,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-003,Die Göttin der Gerechtigkeit nach dem heutigen Geschmacke,18th century,1750,Enlightenment,Iluminismo (Séc. XVIII),Bernhard Rode,Germany,Alemanha,Engraving (Kupferstich),Gravura/Estampe,estampa,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj30110594,https://www.bildindex.de/document/obj30110594?part=0&medium=mi10000g04,'The Goddess of Justice according to contemporary taste' — an Enlightenment-era satirical engraving critiquing contemporary justice through its female allegorical form. Shows how the figure of Justice was deployed as a vehicle for political commentary.,"RODE, Bernhard. Die Göttin der Gerechtigkeit nach dem heutigen Geschmacke. Século XVIII. 1 gravura. Kupferstich-Kabinett Dresden. Disponível em: https://www.bildindex.de/document/obj30110594.","Justitia, Justice, satire","Justitia, satire, Enlightenment, engraving, Dresden, political commentary",True,,1,1,1,1,0,0,0,3,1,0,0.8,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-004,Justitia an der Rathausuhr (Esslingen),1589,1589,Renaissance,Renascimento/Moderno Inicial,Unknown,Germany,Alemanha,Sculpture (town hall clock),Outro,monumento,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj20553978,https://www.bildindex.de/document/obj20553978?part=0&medium=mi05228a07,Justitia figure on the town hall clock of Esslingen am Neckar (1589). Justice as a permanent civic presence on a public timepiece — marking the hours under the gaze of the female allegory of law.,"JUSTITIA an der Rathausuhr, Esslingen am Neckar. 1589. 1 escultura. Altes Rathaus, Esslingen. Disponível em: https://www.bildindex.de/document/obj20553978.","Justitia, Justice, civic architecture","Justitia, town hall, clock, civic architecture, Renaissance, Esslingen",True,,2,2,2,2,1,3,2,2,0,2,1.8,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-005,Barocke Holzdecke: Personifikation der Gerechtigkeit,1660–1780,1660,Baroque,Barroco/Rococó,Unknown,Germany,Alemanha,Baroque wooden ceiling (medallion),Outro,pintura,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj20672587,https://www.bildindex.de/document/obj20672587?part=0&medium=mi07014d04,Baroque wooden ceiling in a Lüneburg residential building with allegorical medallions: Personification of Justice. The female justice figure domesticated — appearing not only in courts and public buildings but in private domestic spaces.,"PERSONIFIKATION der Gerechtigkeit (Barocke Holzdecke). 1660–1780. 1 medalhão em teto de madeira. Lüneburg, Große Bäckerstraße 12. Disponível em: https://www.bildindex.de/document/obj20672587.","Justitia, Justice, domestic allegory","Justitia, Baroque, ceiling, domestic space, Lüneburg, wooden ceiling",True,,1,1,2,2,1,3,2,1,0,0,1.3,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
DE-006,Allegorie: Justitia (Marcantonio Raimondi),Early 16th century,1550,Renaissance,Renascimento/Moderno Inicial,Marcantonio Raimondi,Italy,Itália,Print (engraving),Gravura/Estampe,estampa,Bildindex der Kunst und Architektur,https://www.bildindex.de/document/obj08158050,https://www.bildindex.de/document/obj08158050?part=0&medium=bh001222,"Engraving of Justitia by Marcantonio Raimondi, the most important Italian engraver of the High Renaissance (pupil of Raphael's circle). This print disseminated the Italian Renaissance model of female Justice across Europe.","RAIMONDI, Marcantonio. Allegorie: Justitia. Início do século XVI. 1 gravura. Bibliotheca Hertziana, Roma. Disponível em: https://www.bildindex.de/document/obj08158050.","Justitia, Justice","Justitia, Renaissance, engraving, Raphael circle, Italian, print",False,Renaissance Italian Justitia — Marcantonio Raimondi,1,1,0,1,1,0,2,3,1,0,1.0,fundacional,iconocode-opus,2026-03-31T23:00:00Z,
